,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
37,Bangladesh,2020-06-09 07:33:02,23.685,90.3563,68504.0,930.0,14560.0,53014.0,41.59588113825164,,,1.3575849585425668,50,BGD
38,Barbados,2020-06-09 07:33:02,13.1939,-59.5432,92.0,7.0,81.0,4.0,32.0143647062508,,,7.608695652173912,52,BRB
39,Belarus,2020-06-09 07:33:02,53.7098,27.9534,49453.0,276.0,23880.0,25297.0,523.3497729625229,,,0.5581056760964956,112,BLR
40,Belgium,2020-06-09 07:33:02,50.8333,4.469936,59348.0,9606.0,16315.0,33427.0,512.079088729083,,,16.18588663476444,56,BEL
41,Belize,2020-06-09 07:33:02,17.1899,-88.4976,19.0,2.0,16.0,1.0,4.7784196508735715,,,10.526315789473683,84,BLZ
42,Benin,2020-06-09 07:33:02,9.3077,2.3158,305.0,4.0,188.0,113.0,2.5158378177111347,,,1.3114754098360657,204,BEN
43,Bhutan,2020-06-09 07:33:02,27.5142,90.4336,59.0,0.0,17.0,42.0,7.646330020787651,,,0.0,64,BTN
44,Bolivia,2020-06-09 07:33:02,-16.2902,-63.5887,13949.0,475.0,2159.0,11315.0,119.49768993120807,,,3.4052620259516813,68,BOL
45,Bosnia and Herzegovina,2020-06-09 07:33:02,43.9159,17.6791,2704.0,160.0,2023.0,521.0,82.41854539192244,,,5.9171597633136095,70,BIH
46,Botswana,2020-06-09 07:33:02,-22.3285,24.6849,42.0,1.0,24.0,17.0,1.7859990432147983,,,2.380952380952381,72,BWA
47,Brunei,2020-06-09 07:33:02,4.5353,114.7277,141.0,2.0,138.0,1.0,32.229823787438605,,,1.4184397163120568,96,BRN
48,Bulgaria,2020-06-09 07:33:02,42.7339,25.4858,2810.0,164.0,1587.0,1059.0,40.440702919861934,,,5.8362989323843415,100,BGR
49,Burkina Faso,2020-06-09 07:33:02,12.2383,-1.5616,890.0,53.0,765.0,72.0,4.257705418260237,,,5.955056179775281,854,BFA
50,Burma,2020-06-09 07:33:02,21.9162,95.956,244.0,6.0,159.0,79.0,0.4484486745162093,,,2.459016393442623,104,MMR
51,Burundi,2020-06-09 07:33:02,-3.3731,29.9189,83.0,1.0,45.0,37.0,0.6980197516042049,,,1.2048192771084338,108,BDI
52,Cabo Verde,2020-06-09 07:33:02,16.5388,-23.0418,567.0,5.0,266.0,296.0,101.98061828672562,,,0.8818342151675485,132,CPV
53,Cambodia,2020-06-09 07:33:02,11.55,104.9167,126.0,0.0,123.0,3.0,0.7536348977458003,,,0.0,116,KHM
54,Cameroon,2020-06-09 07:33:02,3.848,11.5021,8060.0,212.0,4748.0,3100.0,30.362545366765985,,,2.630272952853598,120,CMR
55,Central African Republic,2020-06-09 07:33:02,6.6111,20.9394,1850.0,5.0,38.0,1807.0,38.304149022602346,,,0.2702702702702703,140,CAF
56,Chad,2020-06-09 07:33:02,15.4542,18.7322,839.0,70.0,685.0,84.0,5.107799841700822,,,8.34326579261025,148,TCD
57,Comoros,2020-06-09 07:33:02,-11.6455,43.3333,141.0,2.0,67.0,72.0,16.214444655270558,,,1.4184397163120568,174,COM
58,Congo (Brazzaville),2020-06-09 07:33:02,-0.228,15.8277,683.0,22.0,210.0,451.0,12.3774667040709,,,3.2210834553440697,178,COG
59,Congo (Kinshasa),2020-06-09 07:33:02,-4.0383,21.7587,4106.0,88.0,537.0,3481.0,4.584564127645877,,,2.143205065757428,180,COD
60,Costa Rica,2020-06-09 07:33:02,9.7489,-83.7534,1342.0,11.0,712.0,619.0,26.344129715196797,,,0.819672131147541,188,CRI
61,Cote d'Ivoire,2020-06-09 07:33:02,7.54,-5.5471,3881.0,38.0,1869.0,1974.0,14.712865037611447,,,0.979129090440608,384,CIV
62,Croatia,2020-06-09 07:33:02,45.1,15.2,2247.0,104.0,2128.0,15.0,54.734550825914404,,,4.628393413440143,191,HRV
63,Cuba,2020-06-09 07:33:02,21.521757,-77.78116700000002,2200.0,83.0,1868.0,249.0,19.423276996412696,,,3.772727272727273,192,CUB
64,Cyprus,2020-06-09 07:33:02,35.1264,33.4299,970.0,18.0,807.0,145.0,80.34051124725745,,,1.855670103092784,196,CYP
65,Czechia,2020-06-09 07:33:02,49.8175,15.473,9699.0,328.0,7009.0,2362.0,90.56883277981044,,,3.381791937313125,203,CZE
66,Diamond Princess,2020-06-09 07:33:02,,,712.0,13.0,651.0,48.0,,,,1.8258426966292132,9999,
67,Djibouti,2020-06-09 07:33:02,11.8251,42.5903,4278.0,31.0,2013.0,2234.0,432.99507490875527,,,0.7246376811594203,262,DJI
68,Dominica,2020-06-09 07:33:02,15.415,-61.371,18.0,0.0,16.0,2.0,25.003125390673837,,,0.0,212,DMA
69,Dominican Republic,2020-06-09 07:33:02,18.7357,-70.1627,20126.0,539.0,12158.0,7429.0,185.52892798461343,,,2.678127794892179,214,DOM
70,Ecuador,2020-06-09 07:33:02,-1.8312,-78.1834,43378.0,3642.0,21020.0,18716.0,245.8643795350693,,,8.395961086264927,218,ECU
71,Egypt,2020-06-09 07:33:02,26.820553000000004,30.802498,35444.0,1271.0,9375.0,24798.0,34.635468582349574,,,3.5859383816724977,818,EGY
72,El Salvador,2020-06-09 07:33:02,13.7942,-88.8965,3191.0,58.0,1413.0,1720.0,49.19674860523132,,,1.817612033845189,222,SLV
73,Equatorial Guinea,2020-06-09 07:33:02,1.6508,10.2679,1306.0,12.0,200.0,1094.0,93.08723899400208,,,0.9188361408882084,226,GNQ
74,Eritrea,2020-06-09 07:33:02,15.1794,39.7823,39.0,0.0,39.0,0.0,1.099698372474606,,,0.0,232,ERI
75,Estonia,2020-06-09 07:33:02,58.5953,25.0136,1940.0,69.0,1683.0,188.0,146.24522912632042,,,3.5567010309278353,233,EST
76,Eswatini,2020-06-09 07:33:02,-26.5225,31.4659,340.0,3.0,229.0,108.0,29.30620153702408,,,0.8823529411764706,748,SWZ
77,Ethiopia,2020-06-09 07:33:02,9.145,40.4897,2156.0,27.0,361.0,1768.0,1.8753764833512536,,,1.2523191094619666,231,ETH
78,Fiji,2020-06-09 07:33:02,-17.7134,178.065,18.0,0.0,18.0,0.0,2.0079335686334003,,,0.0,242,FJI
79,Gabon,2020-06-09 07:33:02,-0.8037,11.6094,3101.0,21.0,833.0,2247.0,139.32520056359087,,,0.6772009029345373,266,GAB
80,Gambia,2020-06-09 07:33:02,13.4432,-15.3101,28.0,1.0,21.0,6.0,1.1586219681345855,,,3.571428571428572,270,GMB
81,Georgia,2020-06-09 07:33:02,42.3154,43.3569,818.0,13.0,686.0,119.0,20.505492990405287,,,1.5892420537897312,268,GEO
82,Ghana,2020-06-09 07:33:02,7.9465,-1.0232,9910.0,48.0,3645.0,6217.0,31.892696363347603,,,0.4843592330978809,288,GHA
83,Greece,2020-06-09 07:33:02,39.0742,21.8243,3049.0,182.0,1374.0,1493.0,29.252457244785024,,,5.9691702197441785,300,GRC
84,Grenada,2020-06-09 07:33:02,12.1165,-61.679,23.0,0.0,22.0,1.0,20.44099218798603,,,0.0,308,GRD
85,Guatemala,2020-06-09 07:33:02,15.7835,-90.2308,7502.0,267.0,1323.0,5912.0,41.87419800891593,,,3.5590509197547315,320,GTM
86,Guinea,2020-06-09 07:33:02,9.9456,-9.6966,4216.0,23.0,2918.0,1275.0,32.10284606654854,,,0.5455407969639469,324,GIN
87,Guinea-Bissau,2020-06-09 07:33:02,11.8037,-15.1804,1389.0,12.0,153.0,1224.0,70.57934001965451,,,0.8639308855291576,624,GNB
88,Guyana,2020-06-09 07:33:02,4.860416000000002,-58.93018000000001,154.0,12.0,84.0,58.0,19.578950847933854,,,7.792207792207793,328,GUY
89,Haiti,2020-06-09 07:33:02,18.9712,-72.2852,3538.0,54.0,24.0,3460.0,31.028193472450376,,,1.5262860373092142,332,HTI
90,Holy See,2020-06-09 07:33:02,41.9029,12.4534,12.0,0.0,12.0,0.0,1483.3127317676144,,,0.0,336,VAT
91,Honduras,2020-06-09 07:33:02,15.2,-86.2419,6450.0,262.0,740.0,5448.0,65.12120419101896,,,4.062015503875968,340,HND
92,Hungary,2020-06-09 07:33:02,47.1625,19.5033,4017.0,550.0,2324.0,1143.0,41.58234432499858,,,13.691809808314662,348,HUN
93,India,2020-06-09 07:33:02,20.593684,78.96288,267046.0,7473.0,129215.0,130358.0,19.35109793147505,,,2.7983942841308242,356,IND
94,Indonesia,2020-06-09 07:33:02,-0.7893,113.9213,32033.0,1883.0,10904.0,19246.0,11.711237180499305,,,5.878312989729341,360,IDN
95,Iran,2020-06-09 07:33:02,32.427908,53.68804599999999,173832.0,8351.0,136360.0,29121.0,206.96021962699658,,,4.804063693681256,364,IRN
96,Iraq,2020-06-09 07:33:02,33.223191,43.679291,13481.0,370.0,5572.0,7539.0,33.51606437819148,,,2.74460351605964,368,IRQ
97,Israel,2020-06-09 07:33:02,31.046051,34.851612,18089.0,298.0,15137.0,2654.0,208.98751447194343,,,1.64741002819393,376,ISR
98,Jamaica,2020-06-09 07:33:02,18.1096,-77.2975,599.0,10.0,405.0,184.0,20.22855224690586,,,1.6694490818030048,388,JAM
99,Jordan,2020-06-09 07:33:02,31.24,36.51,831.0,9.0,627.0,195.0,8.14455157921973,,,1.083032490974729,400,JOR
100,Kazakhstan,2020-06-09 07:33:02,48.0196,66.9237,13074.0,58.0,7737.0,5279.0,69.62882256191142,,,0.4436285757992963,398,KAZ
101,Kenya,2020-06-09 07:33:02,-0.0236,37.9062,2862.0,85.0,849.0,1928.0,5.322541950817629,,,2.96995108315863,404,KEN
102,"Korea, South",2020-06-09 07:33:02,35.90775700000001,127.766922,11852.0,274.0,10589.0,989.0,23.11720083388105,,,2.3118461019237264,410,KOR
103,Kosovo,2020-06-09 07:33:02,42.602636,20.902977,1263.0,31.0,912.0,320.0,69.76489836861718,,,2.454473475851148,383,XKS
104,Kuwait,2020-06-09 07:33:02,29.31166,47.481766,32510.0,269.0,21242.0,10999.0,761.2579418685547,,,0.8274377114733928,414,KWT
105,Kyrgyzstan,2020-06-09 07:33:02,41.20438,74.766098,2055.0,24.0,1483.0,548.0,31.49815816244497,,,1.167883211678832,417,KGZ
106,Laos,2020-06-09 07:33:02,19.85627,102.495496,19.0,0.0,18.0,1.0,0.261148426319583,,,0.0,418,LAO
107,Latvia,2020-06-09 07:33:02,56.8796,24.6032,1089.0,26.0,794.0,269.0,57.73506761205852,,,2.3875114784205693,428,LVA
108,Lebanon,2020-06-09 07:33:02,33.8547,35.8623,1350.0,30.0,779.0,541.0,19.77893885846514,,,2.2222222222222223,422,LBN
